indicador,valor
Registros iniciales,5000
Duplicados completos detectados inicialmente,100
IDs de cliente repetidos detectados inicialmente,100
Celdas vacías iniciales,722
Categorías distintas antes de la limpieza,16
Valores de género distintos antes de la limpieza,8
Registros finales,4900
Duplicados completos finales,0
IDs de cliente repetidos finales,0
Celdas vacías finales,0
Categorías distintas después de la limpieza,4
Valores de género distintos después de la limpieza,3
Registros eliminados,100
