categoria,<ESPACIO EN BLANCO>,<VACÍO>,F,M,f,f [con espacios],m,m [con espacios],Total
EDUCATION,4,2,24,23,42,32,33,34,194
Education,6,12,93,99,98,109,106,118,641
Education [con espacios],1,4,34,35,25,27,30,19,175
FOOD,1,1,25,29,31,33,25,43,188
Food,2,9,112,126,113,99,93,120,674
Food [con espacios],2,1,33,20,37,46,21,24,184
RETAIL,3,2,38,30,33,28,26,38,198
Retail,8,8,105,99,94,97,114,87,612
Retail [con espacios],4,1,25,41,33,32,21,31,188
SERVICES,3,1,24,28,22,29,25,16,148
Services,7,5,126,120,91,104,91,105,649
Services [con espacios],4,1,26,23,30,24,35,21,164
education,2,3,29,43,43,31,40,31,222
food,0,1,47,42,37,39,41,29,236
retail,6,4,42,47,36,44,39,44,262
services,2,5,47,29,50,37,44,51,265
Total,55,60,830,834,815,811,784,811,5000
